Date/Time: 2018-04-25-22-12-52
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
88.49, 0.47, 3.54, False
88.75, 0.47, 3.54, False
89.01, 0.47, 3.54, False
89.27, 0.47, 3.54, False
89.53, 0.47, 3.54, False
89.79, 0.47, 3.54, False
90.04, 0.47, 3.54, False
90.30, 0.47, 3.54, False
90.56, 0.47, 3.54, False
90.82, 0.47, 3.54, False
91.08, 0.47, 3.54, False
91.34, 0.47, 3.54, False
91.60, 0.47, 3.54, False
91.86, 0.47, 3.54, False
92.12, 0.47, 3.54, False
92.37, 0.47, 3.54, False
92.63, 0.47, 3.54, False
92.88, 0.47, 3.54, False
93.14, 0.47, 3.54, False
93.39, 0.47, 3.54, False
93.65, 0.47, 3.54, False
93.90, 0.47, 3.54, False
94.16, 0.47, 3.54, False
94.42, 0.47, 3.54, False
94.67, 0.47, 3.54, False
94.93, 0.47, 3.54, False
95.18, 0.47, 3.54, False
95.44, 0.47, 3.54, False
95.70, 0.47, 3.54, False
95.95, 0.47, 3.54, False
96.21, 0.47, 3.54, False
96.47, 0.47, 3.54, False
96.73, 0.47, 3.54, False
96.99, 0.47, 3.54, False
97.24, 0.47, 3.54, False
97.50, 0.47, 3.54, False
97.76, 0.47, 3.54, False
98.02, 0.47, 3.54, False
98.28, 0.47, 3.54, False
98.54, 0.47, 3.54, False
98.79, 0.47, 3.54, False
99.05, 0.47, 3.54, False
99.31, 0.47, 3.54, False
99.56, 0.47, 3.54, False
99.82, 0.47, 3.54, False
100.07, 0.47, 3.54, False
100.33, 0.47, 3.54, False
100.58, 0.47, 3.54, False
100.84, 0.47, 3.54, False
101.10, 0.47, 3.54, False
101.36, 0.47, 3.54, False
101.61, 0.47, 3.54, False
101.87, 0.47, 3.54, False
102.12, 0.47, 3.54, False
102.38, 0.47, 3.54, False
102.63, 0.47, 3.54, False
102.89, 0.47, 3.54, False
103.15, 0.47, 3.54, False
103.40, 0.47, 3.54, False
103.66, 0.47, 3.54, False
103.91, 0.47, 3.54, False
104.17, 0.47, 3.54, False
104.43, 0.47, 3.54, False
104.68, 0.47, 3.54, False
104.94, 0.47, 3.54, False
105.19, 0.47, 3.54, False
105.45, 0.47, 3.54, False
105.70, 0.47, 3.54, False
105.96, 0.47, 3.54, False
106.22, 0.47, 3.54, False
106.48, 0.47, 3.54, False
106.73, 0.47, 3.54, False
106.99, 0.47, 3.54, False
107.25, 0.47, 3.54, False
107.51, 0.47, 3.54, False
107.76, 0.47, 3.54, False
108.02, 0.47, 3.54, False
108.28, 0.47, 3.54, False
108.53, 0.47, 3.54, False
108.79, 0.47, 3.54, False
109.05, 0.47, 3.54, False
109.30, 0.47, 3.54, False
109.56, 0.47, 3.54, False
109.82, 0.47, 3.54, False
110.07, 0.47, 3.54, False
110.33, 0.47, 3.54, False
110.59, 0.47, 3.54, False
110.84, 0.47, 3.54, False
111.09, 0.47, 3.54, False
111.35, 0.47, 3.54, False
111.61, 0.47, 3.54, False
111.86, 0.47, 3.54, False
112.12, 0.47, 3.54, False
112.38, 0.47, 3.54, False
112.64, 0.47, 3.54, False
112.89, 0.47, 3.54, False
113.15, 0.47, 3.54, False
113.41, 0.47, 3.54, False
113.66, 0.47, 3.54, False
113.92, 0.47, 3.54, False
114.18, 0.47, 3.54, False
114.43, 0.47, 3.54, False
114.69, 0.47, 3.54, False
114.95, 0.47, 3.54, False
115.20, 0.47, 3.54, False
115.46, 0.47, 3.54, False
115.72, 0.47, 3.54, False
115.97, 0.47, 3.54, False
116.23, 0.47, 3.54, False
116.49, 0.47, 3.54, False
116.74, 0.47, 3.54, False
117.00, 0.47, 3.54, False
117.26, 0.47, 3.54, False
117.51, 0.47, 3.54, False
117.77, 0.47, 3.54, False
118.02, 0.47, 3.54, False
118.28, 0.47, 3.54, False
118.53, 0.47, 3.54, False
118.79, 0.47, 3.54, False
119.04, 0.47, 3.54, False
119.29, 0.47, 3.54, False
119.55, 0.47, 3.54, False
119.81, 0.47, 3.54, False
120.06, 0.47, 3.54, False
120.31, 0.47, 3.54, False
120.57, 0.47, 3.54, False
120.82, 0.47, 3.54, False
121.08, 0.47, 3.54, False
121.33, 0.47, 3.54, False
121.59, 0.47, 3.54, False
121.84, 0.47, 3.54, False
122.10, 0.47, 3.54, False
122.36, 0.47, 3.54, False
122.61, 0.47, 3.54, False
122.86, 0.47, 3.54, False
123.12, 0.47, 3.54, False
